,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
511,2019,70.778,SP.DYN.LE00.IN,NPL,Nepal,South Asia,Lower middle income,IDA
512,2016,81.5609756098,SP.DYN.LE00.IN,NLD,Netherlands,Europe & Central Asia,High income,Not classified
513,2017,81.7609756098,SP.DYN.LE00.IN,NLD,Netherlands,Europe & Central Asia,High income,Not classified
514,2018,81.812195122,SP.DYN.LE00.IN,NLD,Netherlands,Europe & Central Asia,High income,Not classified
515,2019,82.012195122,SP.DYN.LE00.IN,NLD,Netherlands,Europe & Central Asia,High income,Not classified
516,2016,76.9317073171,SP.DYN.LE00.IN,NCL,New Caledonia,East Asia & Pacific,High income,Not classified
517,2017,77.5390243902,SP.DYN.LE00.IN,NCL,New Caledonia,East Asia & Pacific,High income,Not classified
518,2018,77.4341463415,SP.DYN.LE00.IN,NCL,New Caledonia,East Asia & Pacific,High income,Not classified
519,2019,77.6341463415,SP.DYN.LE00.IN,NCL,New Caledonia,East Asia & Pacific,High income,Not classified
520,2016,81.6124390244,SP.DYN.LE00.IN,NZL,New Zealand,East Asia & Pacific,High income,Not classified
521,2017,81.6585365854,SP.DYN.LE00.IN,NZL,New Zealand,East Asia & Pacific,High income,Not classified
522,2018,81.8585365854,SP.DYN.LE00.IN,NZL,New Zealand,East Asia & Pacific,High income,Not classified
523,2019,81.7073170732,SP.DYN.LE00.IN,NZL,New Zealand,East Asia & Pacific,High income,Not classified
524,2016,73.86,SP.DYN.LE00.IN,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA
525,2017,74.068,SP.DYN.LE00.IN,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA
526,2018,74.275,SP.DYN.LE00.IN,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA
527,2019,74.485,SP.DYN.LE00.IN,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA
528,2016,61.137,SP.DYN.LE00.IN,NER,Niger,Sub-Saharan Africa ,Low income,IDA
529,2017,61.599,SP.DYN.LE00.IN,NER,Niger,Sub-Saharan Africa ,Low income,IDA
530,2018,62.024,SP.DYN.LE00.IN,NER,Niger,Sub-Saharan Africa ,Low income,IDA
531,2019,62.42,SP.DYN.LE00.IN,NER,Niger,Sub-Saharan Africa ,Low income,IDA
532,2016,53.541,SP.DYN.LE00.IN,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend
533,2017,53.95,SP.DYN.LE00.IN,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend
534,2018,54.332,SP.DYN.LE00.IN,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend
535,2019,54.687,SP.DYN.LE00.IN,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend
536,2016,75.498,SP.DYN.LE00.IN,MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD
537,2017,75.589,SP.DYN.LE00.IN,MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD
538,2018,75.688,SP.DYN.LE00.IN,MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD
539,2019,75.797,SP.DYN.LE00.IN,MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD
540,2016,82.4073170732,SP.DYN.LE00.IN,NOR,Norway,Europe & Central Asia,High income,Not classified
541,2017,82.6097560976,SP.DYN.LE00.IN,NOR,Norway,Europe & Central Asia,High income,Not classified
542,2018,82.7585365854,SP.DYN.LE00.IN,NOR,Norway,Europe & Central Asia,High income,Not classified
543,2019,82.9073170732,SP.DYN.LE00.IN,NOR,Norway,Europe & Central Asia,High income,Not classified
544,2016,77.142,SP.DYN.LE00.IN,OMN,Oman,Middle East & North Africa,High income,Not classified
545,2017,77.393,SP.DYN.LE00.IN,OMN,Oman,Middle East & North Africa,High income,Not classified
546,2018,77.633,SP.DYN.LE00.IN,OMN,Oman,Middle East & North Africa,High income,Not classified
547,2019,77.861,SP.DYN.LE00.IN,OMN,Oman,Middle East & North Africa,High income,Not classified
548,2016,66.77,SP.DYN.LE00.IN,PAK,Pakistan,South Asia,Lower middle income,Blend
549,2017,66.947,SP.DYN.LE00.IN,PAK,Pakistan,South Asia,Lower middle income,Blend
550,2018,67.114,SP.DYN.LE00.IN,PAK,Pakistan,South Asia,Lower middle income,Blend
551,2019,67.273,SP.DYN.LE00.IN,PAK,Pakistan,South Asia,Lower middle income,Blend
552,2016,77.964,SP.DYN.LE00.IN,PAN,Panama,Latin America & Caribbean ,Upper middle income,IBRD
553,2017,78.149,SP.DYN.LE00.IN,PAN,Panama,Latin America & Caribbean ,Upper middle income,IBRD
554,2018,78.329,SP.DYN.LE00.IN,PAN,Panama,Latin America & Caribbean ,Upper middle income,IBRD
555,2019,78.506,SP.DYN.LE00.IN,PAN,Panama,Latin America & Caribbean ,Upper middle income,IBRD
556,2016,63.744,SP.DYN.LE00.IN,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend
557,2017,64.01,SP.DYN.LE00.IN,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend
558,2018,64.263,SP.DYN.LE00.IN,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend
559,2019,64.501,SP.DYN.LE00.IN,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend
560,2016,73.836,SP.DYN.LE00.IN,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD
561,2017,73.992,SP.DYN.LE00.IN,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD
562,2018,74.131,SP.DYN.LE00.IN,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD
563,2019,74.254,SP.DYN.LE00.IN,PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD
564,2016,76.044,SP.DYN.LE00.IN,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD
565,2017,76.286,SP.DYN.LE00.IN,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD
566,2018,76.516,SP.DYN.LE00.IN,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD
567,2019,76.736,SP.DYN.LE00.IN,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD
568,2016,70.802,SP.DYN.LE00.IN,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
569,2017,70.952,SP.DYN.LE00.IN,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
570,2018,71.095,SP.DYN.LE00.IN,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
571,2019,71.231,SP.DYN.LE00.IN,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD
572,2016,77.8512195122,SP.DYN.LE00.IN,POL,Poland,Europe & Central Asia,High income,IBRD
573,2017,77.7536585366,SP.DYN.LE00.IN,POL,Poland,Europe & Central Asia,High income,IBRD
574,2018,77.6024390244,SP.DYN.LE00.IN,POL,Poland,Europe & Central Asia,High income,IBRD
575,2019,77.856097561,SP.DYN.LE00.IN,POL,Poland,Europe & Central Asia,High income,IBRD
576,2016,81.1243902439,SP.DYN.LE00.IN,PRT,Portugal,Europe & Central Asia,High income,Not classified
577,2017,81.4243902439,SP.DYN.LE00.IN,PRT,Portugal,Europe & Central Asia,High income,Not classified
578,2018,81.3243902439,SP.DYN.LE00.IN,PRT,Portugal,Europe & Central Asia,High income,Not classified
579,2019,80.6829268293,SP.DYN.LE00.IN,PRT,Portugal,Europe & Central Asia,High income,Not classified
580,2016,79.4949756098,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
581,2017,79.6345365854,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
582,2018,79.778195122,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
583,2019,79.9285121951,SP.DYN.LE00.IN,PRI,Puerto Rico,Latin America & Caribbean ,High income,Not classified
584,2016,79.868,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
585,2017,79.981,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
586,2018,80.1,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
587,2019,80.227,SP.DYN.LE00.IN,QAT,Qatar,Middle East & North Africa,High income,Not classified
588,2016,75.2097560976,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
589,2017,75.3097560976,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
590,2018,75.3585365854,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
591,2019,75.4585365854,SP.DYN.LE00.IN,ROU,Romania,Europe & Central Asia,Upper middle income,IBRD
592,2016,71.6512195122,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
593,2017,72.4514634146,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
594,2018,72.662195122,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
595,2019,73.083902439,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
596,2016,67.93,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
597,2017,68.341,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
598,2018,68.7,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
599,2019,69.024,SP.DYN.LE00.IN,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
600,2016,72.895,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
601,2017,73.046,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
602,2018,73.187,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
603,2019,73.321,SP.DYN.LE00.IN,WSM,Samoa,East Asia & Pacific,Lower middle income,IDA
604,2016,69.67,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
605,2017,69.933,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
606,2018,70.17,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
607,2019,70.385,SP.DYN.LE00.IN,STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,IDA
608,2016,74.761,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
609,2017,74.874,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
610,2018,74.998,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
611,2019,75.133,SP.DYN.LE00.IN,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified
612,2016,67.078,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
613,2017,67.38,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
614,2018,67.665,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
615,2019,67.941,SP.DYN.LE00.IN,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
616,2016,75.687804878,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
617,2017,75.5390243902,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
618,2018,75.8902439024,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
619,2019,75.6853658537,SP.DYN.LE00.IN,SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD
620,2016,74.3097560976,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
621,2017,74.3,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
622,2018,72.8414634146,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
623,2019,73.943902439,SP.DYN.LE00.IN,SYC,Seychelles,Sub-Saharan Africa ,High income,IBRD
624,2016,53.444,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
625,2017,53.895,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
626,2018,54.309,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
627,2019,54.696,SP.DYN.LE00.IN,SLE,Sierra Leone,Sub-Saharan Africa ,Low income,IDA
628,2016,82.8463414634,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
629,2017,83.0951219512,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
630,2018,83.2975609756,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
631,2019,83.4975609756,SP.DYN.LE00.IN,SGP,Singapore,East Asia & Pacific,High income,Not classified
632,2016,78.2926829268,SP.DYN.LE00.IN,SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Not classified
633,2016,77.1658536585,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
634,2017,77.1658536585,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
635,2018,77.2658536585,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
636,2019,77.4707317073,SP.DYN.LE00.IN,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified
637,2016,81.1756097561,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
638,2017,81.0292682927,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
639,2018,81.3780487805,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
640,2019,81.2804878049,SP.DYN.LE00.IN,SVN,Slovenia,Europe & Central Asia,High income,Not classified
641,2016,72.424,SP.DYN.LE00.IN,SLB,Solomon Islands,East Asia & Pacific,Lower middle income,IDA
642,2017,72.645,SP.DYN.LE00.IN,SLB,Solomon Islands,East Asia & Pacific,Lower middle income,IDA
643,2018,72.835,SP.DYN.LE00.IN,SLB,Solomon Islands,East Asia & Pacific,Lower middle income,IDA
644,2019,72.996,SP.DYN.LE00.IN,SLB,Solomon Islands,East Asia & Pacific,Lower middle income,IDA
645,2016,56.324,SP.DYN.LE00.IN,SOM,Somalia,Sub-Saharan Africa ,Low income,IDA
646,2017,56.709,SP.DYN.LE00.IN,SOM,Somalia,Sub-Saharan Africa ,Low income,IDA
647,2018,57.068,SP.DYN.LE00.IN,SOM,Somalia,Sub-Saharan Africa ,Low income,IDA
648,2019,57.397,SP.DYN.LE00.IN,SOM,Somalia,Sub-Saharan Africa ,Low income,IDA
649,2016,63.153,SP.DYN.LE00.IN,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
650,2017,63.538,SP.DYN.LE00.IN,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
651,2018,63.857,SP.DYN.LE00.IN,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
652,2019,64.131,SP.DYN.LE00.IN,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
653,2016,57.12,SP.DYN.LE00.IN,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA
654,2017,57.365,SP.DYN.LE00.IN,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA
655,2018,57.604,SP.DYN.LE00.IN,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA
656,2019,57.846,SP.DYN.LE00.IN,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA
657,2016,83.3292682927,SP.DYN.LE00.IN,ESP,Spain,Europe & Central Asia,High income,Not classified
658,2017,83.2829268293,SP.DYN.LE00.IN,ESP,Spain,Europe & Central Asia,High income,Not classified
659,2018,83.4317073171,SP.DYN.LE00.IN,ESP,Spain,Europe & Central Asia,High income,Not classified
660,2019,83.4853658537,SP.DYN.LE00.IN,ESP,Spain,Europe & Central Asia,High income,Not classified
661,2016,76.482,SP.DYN.LE00.IN,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
662,2017,76.648,SP.DYN.LE00.IN,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
663,2018,76.812,SP.DYN.LE00.IN,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
664,2019,76.978,SP.DYN.LE00.IN,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
665,2016,75.752,SP.DYN.LE00.IN,LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend
666,2017,75.907,SP.DYN.LE00.IN,LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend
667,2018,76.057,SP.DYN.LE00.IN,LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend
668,2019,76.203,SP.DYN.LE00.IN,LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend
669,2016,79.5219512195,SP.DYN.LE00.IN,MAF,St. Martin (French part),Latin America & Caribbean ,High income,Not classified
670,2017,79.6219512195,SP.DYN.LE00.IN,MAF,St. Martin (French part),Latin America & Caribbean ,High income,Not classified
671,2018,79.8219512195,SP.DYN.LE00.IN,MAF,St. Martin (French part),Latin America & Caribbean ,High income,Not classified
672,2019,79.9731707317,SP.DYN.LE00.IN,MAF,St. Martin (French part),Latin America & Caribbean ,High income,Not classified
673,2016,72.193,SP.DYN.LE00.IN,VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,Blend
674,2017,72.3,SP.DYN.LE00.IN,VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,Blend
675,2018,72.415,SP.DYN.LE00.IN,VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,Blend
676,2019,72.534,SP.DYN.LE00.IN,VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,Blend
677,2016,64.663,SP.DYN.LE00.IN,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA
678,2017,64.881,SP.DYN.LE00.IN,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA
679,2018,65.095,SP.DYN.LE00.IN,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA
680,2019,65.311,SP.DYN.LE00.IN,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA
681,2016,71.358,SP.DYN.LE00.IN,SUR,Suriname,Latin America & Caribbean ,Upper middle income,IBRD
682,2017,71.463,SP.DYN.LE00.IN,SUR,Suriname,Latin America & Caribbean ,Upper middle income,IBRD
683,2018,71.57,SP.DYN.LE00.IN,SUR,Suriname,Latin America & Caribbean ,Upper middle income,IBRD
684,2019,71.682,SP.DYN.LE00.IN,SUR,Suriname,Latin America & Caribbean ,Upper middle income,IBRD
685,2016,82.3073170732,SP.DYN.LE00.IN,SWE,Sweden,Europe & Central Asia,High income,Not classified
686,2017,82.4097560976,SP.DYN.LE00.IN,SWE,Sweden,Europe & Central Asia,High income,Not classified
687,2018,82.5585365854,SP.DYN.LE00.IN,SWE,Sweden,Europe & Central Asia,High income,Not classified
688,2019,82.9585365854,SP.DYN.LE00.IN,SWE,Sweden,Europe & Central Asia,High income,Not classified
689,2016,83.6024390244,SP.DYN.LE00.IN,CHE,Switzerland,Europe & Central Asia,High income,Not classified
690,2017,83.5512195122,SP.DYN.LE00.IN,CHE,Switzerland,Europe & Central Asia,High income,Not classified
691,2018,83.7536585366,SP.DYN.LE00.IN,CHE,Switzerland,Europe & Central Asia,High income,Not classified
692,2019,83.7048780488,SP.DYN.LE00.IN,CHE,Switzerland,Europe & Central Asia,High income,Not classified
693,2016,70.315,SP.DYN.LE00.IN,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA
694,2017,70.967,SP.DYN.LE00.IN,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA
695,2018,71.779,SP.DYN.LE00.IN,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA
696,2019,72.697,SP.DYN.LE00.IN,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA
697,2016,70.397,SP.DYN.LE00.IN,TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA
698,2017,70.647,SP.DYN.LE00.IN,TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA
699,2018,70.879,SP.DYN.LE00.IN,TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA
700,2019,71.097,SP.DYN.LE00.IN,TJK,Tajikistan,Europe & Central Asia,Lower middle income,IDA
701,2016,63.844,SP.DYN.LE00.IN,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA
702,2017,64.479,SP.DYN.LE00.IN,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA
703,2018,65.015,SP.DYN.LE00.IN,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA
704,2019,65.456,SP.DYN.LE00.IN,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA
705,2016,76.403,SP.DYN.LE00.IN,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD
706,2017,76.683,SP.DYN.LE00.IN,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD
707,2018,76.931,SP.DYN.LE00.IN,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD
708,2019,77.15,SP.DYN.LE00.IN,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD
709,2016,68.735,SP.DYN.LE00.IN,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend
710,2017,69.007,SP.DYN.LE00.IN,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend
711,2018,69.26,SP.DYN.LE00.IN,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend
712,2019,69.495,SP.DYN.LE00.IN,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Blend
713,2016,60.22,SP.DYN.LE00.IN,TGO,Togo,Sub-Saharan Africa ,Low income,IDA
714,2017,60.489,SP.DYN.LE00.IN,TGO,Togo,Sub-Saharan Africa ,Low income,IDA
715,2018,60.76,SP.DYN.LE00.IN,TGO,Togo,Sub-Saharan Africa ,Low income,IDA
716,2019,61.042,SP.DYN.LE00.IN,TGO,Togo,Sub-Saharan Africa ,Low income,IDA
717,2016,70.607,SP.DYN.LE00.IN,TON,Tonga,East Asia & Pacific,Upper middle income,IDA
718,2017,70.701,SP.DYN.LE00.IN,TON,Tonga,East Asia & Pacific,Upper middle income,IDA
719,2018,70.801,SP.DYN.LE00.IN,TON,Tonga,East Asia & Pacific,Upper middle income,IDA
720,2019,70.907,SP.DYN.LE00.IN,TON,Tonga,East Asia & Pacific,Upper middle income,IDA
721,2016,73.1,SP.DYN.LE00.IN,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD
722,2017,73.245,SP.DYN.LE00.IN,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD
723,2018,73.38,SP.DYN.LE00.IN,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD
724,2019,73.507,SP.DYN.LE00.IN,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD
725,2016,76.115,SP.DYN.LE00.IN,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD
726,2017,76.31,SP.DYN.LE00.IN,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD
727,2018,76.505,SP.DYN.LE00.IN,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD
728,2019,76.699,SP.DYN.LE00.IN,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD
729,2016,76.86,SP.DYN.LE00.IN,TUR,Turkey,Europe & Central Asia,Upper middle income,IBRD
730,2017,77.161,SP.DYN.LE00.IN,TUR,Turkey,Europe & Central Asia,Upper middle income,IBRD
731,2018,77.437,SP.DYN.LE00.IN,TUR,Turkey,Europe & Central Asia,Upper middle income,IBRD
732,2019,77.691,SP.DYN.LE00.IN,TUR,Turkey,Europe & Central Asia,Upper middle income,IBRD
733,2016,67.835,SP.DYN.LE00.IN,TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD
734,2017,67.956,SP.DYN.LE00.IN,TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD
735,2018,68.073,SP.DYN.LE00.IN,TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD
736,2019,68.191,SP.DYN.LE00.IN,TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD
737,2016,61.986,SP.DYN.LE00.IN,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA
738,2017,62.516,SP.DYN.LE00.IN,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA
739,2018,62.973,SP.DYN.LE00.IN,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA
740,2019,63.368,SP.DYN.LE00.IN,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA
741,2016,71.4763414634,SP.DYN.LE00.IN,UKR,Ukraine,Europe & Central Asia,Lower middle income,IBRD
742,2017,71.7809756098,SP.DYN.LE00.IN,UKR,Ukraine,Europe & Central Asia,Lower middle income,IBRD
743,2018,71.5826829268,SP.DYN.LE00.IN,UKR,Ukraine,Europe & Central Asia,Lower middle income,IBRD
744,2019,71.8273170732,SP.DYN.LE00.IN,UKR,Ukraine,Europe & Central Asia,Lower middle income,IBRD
745,2016,77.47,SP.DYN.LE00.IN,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified
746,2017,77.647,SP.DYN.LE00.IN,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified
747,2018,77.814,SP.DYN.LE00.IN,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified
748,2019,77.972,SP.DYN.LE00.IN,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified
749,2016,81.156097561,SP.DYN.LE00.IN,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
750,2017,81.256097561,SP.DYN.LE00.IN,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
751,2018,81.256097561,SP.DYN.LE00.IN,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
752,2019,81.2048780488,SP.DYN.LE00.IN,GBR,United Kingdom,Europe & Central Asia,High income,Not classified
753,2016,78.5390243902,SP.DYN.LE00.IN,USA,United States,North America,High income,Not classified
754,2017,78.5390243902,SP.DYN.LE00.IN,USA,United States,North America,High income,Not classified
755,2018,78.6390243902,SP.DYN.LE00.IN,USA,United States,North America,High income,Not classified
756,2019,78.787804878,SP.DYN.LE00.IN,USA,United States,North America,High income,Not classified
757,2016,77.498,SP.DYN.LE00.IN,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
758,2017,77.632,SP.DYN.LE00.IN,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
759,2018,77.77,SP.DYN.LE00.IN,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
760,2019,77.911,SP.DYN.LE00.IN,URY,Uruguay,Latin America & Caribbean ,High income,IBRD
761,2016,71.171,SP.DYN.LE00.IN,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
762,2017,71.388,SP.DYN.LE00.IN,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
763,2018,71.573,SP.DYN.LE00.IN,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
764,2019,71.725,SP.DYN.LE00.IN,UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend
765,2016,70.021,SP.DYN.LE00.IN,VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA
